Algorithm,PointIndex,ComputationTime(ms),JointLimitCost,Success,Joint1,Vel1,Joint2,Vel2,Joint3,Vel3,Joint4,Vel4,Joint5,Vel5,Joint6,Vel6,Joint7,Vel7,Joint8,Vel8
DE,78,5.143600,0.710497,1,1402.243338,9.985983,1813.633314,0.096398,1220.462303,0.519207,3.163154,-0.000004,0.028713,0.000000,2.513274,0.000000,0.054473,0.000003,2.151592,0.035732
DE,79,5.035900,0.710788,1,1415.207021,9.988287,1813.759368,0.097122,1221.076060,0.472889,3.163154,0.000002,0.028713,0.000000,2.513274,0.000000,0.054474,0.000004,2.155827,0.032624
DE,80,5.120500,0.711107,1,1428.170464,9.990186,1813.886275,0.097800,1221.634708,0.430518,3.163154,-0.000002,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000005,2.160462,0.035720
DE,81,4.155200,0.711376,1,1441.138598,9.992082,1814.014159,0.098536,1222.133505,0.384329,3.163153,-0.000005,0.028713,0.000000,2.513274,0.000000,0.054474,0.000005,2.164312,0.029663
DE,82,4.128900,0.711695,1,1454.108199,9.993464,1814.142790,0.099114,1222.582314,0.345820,3.163155,0.000010,0.028713,0.000000,2.513274,0.000000,0.054474,0.000006,2.168933,0.035612
DE,83,4.795200,0.712017,1,1467.076827,9.994949,1814.272364,0.099863,1222.971017,0.299575,3.163154,-0.000002,0.028713,0.000000,2.513274,0.000000,0.054474,-0.000003,2.173566,0.035704
DE,84,4.447900,0.712313,1,1480.049749,9.996232,1814.402925,0.100603,1223.299740,0.253296,3.163153,-0.000011,0.028713,0.000000,2.513274,0.000000,0.054474,-0.000002,2.177803,0.032644
DE,85,5.020800,0.712611,1,1493.024183,9.997209,1814.534308,0.101235,1223.573482,0.210926,3.163154,0.000005,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000001,2.182041,0.032658
DE,86,4.580300,0.712935,1,1505.997966,9.997996,1814.666549,0.101908,1223.792238,0.168580,3.163153,-0.000003,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000001,2.186667,0.035652
DE,87,4.440500,0.713210,1,1518.977109,9.998683,1814.799763,0.102624,1223.950887,0.122218,3.163153,-0.000001,0.028713,0.000000,2.513274,0.000000,0.054472,-0.000010,2.190516,0.029653
DE,88,5.101700,0.713561,1,1531.952543,9.999040,1814.933662,0.103184,1224.059933,0.084032,3.163155,0.000016,0.028713,0.000000,2.513274,0.000000,0.054475,0.000020,2.195527,0.038610
DE,89,4.841300,0.713837,1,1544.926558,9.999358,1815.068592,0.103994,1224.103737,0.033760,3.163155,-0.000002,0.028713,0.000000,2.513274,0.000000,0.054475,0.000001,2.199379,0.029689
DE,90,4.809100,0.714165,1,1557.904735,9.999388,1815.204366,0.104611,1224.097308,-0.004953,3.163153,-0.000014,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000017,2.204001,0.035613
DE,91,5.306900,0.714494,1,1570.885279,9.999253,1815.341018,0.105266,1224.031154,-0.050960,3.163155,0.000013,0.028713,0.000000,2.513274,0.000000,0.054473,0.000003,2.208627,0.035637
DE,92,7.467000,0.714774,1,1583.858376,9.998920,1815.478583,0.106028,1223.904875,-0.097329,3.163153,-0.000016,0.028713,0.000000,2.513274,0.000000,0.054472,-0.000007,2.212481,0.029698
DE,93,6.947800,0.715129,1,1596.833296,9.998436,1815.616886,0.106576,1223.728751,-0.135721,3.163153,0.000005,0.028713,0.000000,2.513274,0.000000,0.054473,0.000005,2.217489,0.038594
DE,94,5.444900,0.715411,1,1609.807647,9.997653,1815.756197,0.107349,1223.487630,-0.185801,3.163153,-0.000002,0.028713,0.000000,2.513274,0.000000,0.054473,0.000004,2.221339,0.029670
DE,95,7.003800,0.715744,1,1622.783510,9.996839,1815.896255,0.107903,1223.196541,-0.224260,3.163155,0.000013,0.028713,0.000000,2.513274,0.000000,0.054474,0.000006,2.225972,0.035690
DE,96,7.227300,0.716078,1,1635.753225,9.995682,1816.037206,0.108630,1222.845324,-0.270680,3.163155,-0.000001,0.028713,0.000000,2.513274,0.000000,0.054474,-0.000003,2.230594,0.035619
DE,97,7.421400,0.716363,1,1648.722899,9.994339,1816.179078,0.109325,1222.434252,-0.316770,3.163154,-0.000001,0.028713,0.000000,2.513274,0.000000,0.054474,0.000007,2.234458,0.029781
DE,98,6.809000,0.716697,1,1661.687627,9.993012,1816.321670,0.109908,1221.973051,-0.355486,3.163154,-0.000002,0.028713,0.000000,2.513274,0.000000,0.054474,-0.000003,2.239064,0.035502
DE,99,4.515800,0.717010,1,1674.657100,9.991271,1816.465241,0.110603,1221.451900,-0.401478,3.163153,-0.000005,0.028713,0.000000,2.513274,0.000000,0.054474,0.000000,2.243330,0.032865
DE,100,4.319700,0.717321,1,1687.616513,9.989455,1816.609562,0.111246,1220.875583,-0.444240,3.163152,-0.000008,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000012,2.247546,0.032493
DE,101,7.368200,0.717662,1,1700.582980,9.987492,1816.754737,0.111822,1220.244594,-0.486023,3.163154,0.000016,0.028713,0.000000,2.513274,0.000000,0.054474,0.000011,2.252203,0.035876
DE,102,6.201900,0.718000,1,1713.537886,9.985104,1816.900763,0.112550,1219.553440,-0.532713,3.163154,-0.000003,0.028713,0.000000,2.513274,0.000000,0.054474,-0.000000,2.256796,0.035401
DE,103,4.259200,0.718318,1,1726.497987,9.982549,1817.047765,0.113228,1218.802214,-0.578633,3.163154,-0.000003,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000006,2.261075,0.032952
DE,104,4.356800,0.718635,1,1739.447713,9.979981,1817.195511,0.113864,1217.996107,-0.621244,3.163153,-0.000006,0.028713,0.000000,2.513274,0.000000,0.054474,0.000003,2.265328,0.032780
DE,105,4.417600,0.718951,1,1752.393700,9.977244,1817.344032,0.114463,1217.134981,-0.663654,3.163154,0.000006,0.028713,0.000000,2.513274,0.000000,0.054474,0.000002,2.269556,0.032582
DE,106,5.025800,0.719271,1,1765.338822,9.974332,1817.493417,0.115102,1216.218766,-0.705952,3.163153,-0.000005,0.028713,0.000000,2.513274,0.000000,0.054473,-0.000005,2.273811,0.032785
DE,107,4.987600,0.719616,1,1778.280570,9.971244,1817.643562,0.115683,1215.247827,-0.748081,3.163155,0.000015,0.028713,0.000000,2.513274,0.000000,0.054475,0.000015,2.278450,0.035747
