Time,Eta,Z,Force
0.3,10,0.0561562,0
0.33,10,0.0379373,0
0.36,10,0.020463,0
0.39,10,0.00377087,0
0.42,10,-0.0121685,0
0.45,10,-0.0274318,0
0.48,10,-0.0421249,0
0.51,10,-0.0563669,0
0.54,10,-0.0702777,0
0.57,10,-0.083968,0
0.6,10,-0.0975339,0
0.63,10,-0.111052,0
0.66,10,-0.124581,0
0.69,10,-0.138159,0
0.72,10,-0.151807,0
0.75,10,-0.165532,0
0.78,10,-0.17933,0
0.81,10,-0.19319,0
0.84,10,-0.207095,0
0.87,10,-0.221026,0
0.9,10,-0.234963,0
0.93,10,-0.248888,0
0.96,10,-0.262786,0
0.99,10,-0.276644,0
1.02,10,-0.290453,0
1.05,10,-0.304207,0
1.08,10,-0.317902,0
1.11,10,-0.331536,0
1.14,10,-0.345111,0
1.17,10,-0.358629,0
1.2,10,-0.372092,0
1.23,10,-0.385503,0
1.26,10,-0.398866,0
1.29,10,-0.412184,0
1.32,10,-0.42546,0
1.35,10,-0.438696,0
1.38,10,-0.451893,0
1.41,10,-0.465052,0
1.44,10,-0.478175,0
1.47,10,-0.491262,0
1.5,10,-0.504313,0
1.53,10,-0.517327,0
1.56,10,-0.530305,0
1.59,10,-0.543246,0
1.62,10,-0.556149,0
1.65,10,-0.569014,0
1.68,10,-0.581842,0
1.71,10,-0.594631,0
1.74,10,-0.607381,0
1.77,10,-0.620093,0
1.8,10,-0.632766,0
1.83,10,-0.645401,0
1.86,10,-0.657998,0
1.89,10,-0.670556,0
1.92,10,-0.683077,0
1.95,10,-0.69556,0
1.98,10,-0.708005,0
2.01,10,-0.720412,0
2.04,10,-0.732782,0
2.07,10,-0.745116,0
2.1,10,-0.757412,0
2.13,10,-0.769672,0
2.16,10,-0.781895,0
2.19,10,-0.794081,0
2.22,10,-0.806231,0
2.25,10,-0.818344,0
2.28,10,-0.830422,0
2.31,10,-0.842463,0
2.34,10,-0.854468,0
2.37,10,-0.866438,0
2.4,10,-0.878371,0
2.43,10,-0.890269,0
2.46,10,-0.902131,0
2.49,10,-0.913957,0
2.52,10,-0.925748,0
2.55,10,-0.937504,0
2.58,10,-0.949225,0
2.61,10,-0.96091,0
2.64,10,-0.972561,0
2.67,10,-0.984176,0
2.7,10,-0.995757,0
2.73,10,-1.0073,0
2.76,10,-1.01881,0
2.79,10,-1.03029,0
2.82,10,-1.04173,0
2.85,10,-1.05314,0
2.88,10,-1.06452,0
2.91,10,-1.07586,0
2.94,10,-1.08716,0
2.97,10,-1.09843,0
0,20,0.199995,0
0.03,20,0.197265,0
0.06,20,0.189049,0
0.09,20,0.175096,0
0.12,20,0.155675,0
0.15,20,0.131413,0
0.18,20,0.103158,0
0.21,20,0.0718528,0
0.24,20,0.0384372,0
0.27,20,0.00377783,0
0.3,20,-0.0313814,0
0.33,20,-0.0664446,0
0.36,20,-0.100972,0
0.39,20,-0.134672,0
0.42,20,-0.167388,0
0.45,20,-0.199073,0
0.48,20,-0.229764,0
0.51,20,-0.259562,0
0.54,20,-0.2886,0
0.57,20,-0.317033,0
0.6,20,-0.345013,0
0.63,20,-0.372682,0
0.66,20,-0.400162,0
0.69,20,-0.427552,0
0.72,20,-0.454926,0
0.75,20,-0.482332,0
0.78,20,-0.509799,0
0.81,20,-0.537334,0
0.84,20,-0.564933,0
0.87,20,-0.59258,0
0.9,20,-0.620255,0
0.93,20,-0.647933,0
0.96,20,-0.675589,0
0.99,20,-0.703201,0
1.02,20,-0.730749,0
1.05,20,-0.758216,0
1.08,20,-0.785591,0
1.11,20,-0.812866,0
1.14,20,-0.840037,0
1.17,20,-0.867101,0
1.2,20,-0.894061,0
1.23,20,-0.920918,0
1.26,20,-0.947677,0
1.29,20,-0.974342,0
1.32,20,-1.00092,0
1.35,20,-1.0274,0
1.38,20,-1.05381,0
1.41,20,-1.08014,0
1.44,20,-1.10638,0
1.47,20,-1.13256,0
1.5,20,-1.15866,0
1.53,20,-1.18468,0
1.56,20,-1.21063,0
1.59,20,-1.23651,0
1.62,20,-1.26231,0
1.65,20,-1.28803,0
1.68,20,-1.31368,0
1.71,20,-1.33926,0
1.74,20,-1.36476,0
1.77,20,-1.39018,0
1.8,20,-1.41553,0
1.83,20,-1.4408,0
1.86,20,-1.46599,0
1.89,20,-1.49111,0
1.92,20,-1.51615,0
1.95,20,-1.54112,0
1.98,20,-1.56601,0
2.01,20,-1.59082,0
2.04,20,-1.61556,0
2.07,20,-1.64023,0
2.1,20,-1.66482,0
2.13,20,-1.68934,0
2.16,20,-1.71379,0
2.19,20,-1.73816,0
2.22,20,-1.76246,0
2.25,20,-1.78669,0
2.28,20,-1.81084,0
2.31,20,-1.83493,0
2.34,20,-1.85894,0
2.37,20,-1.88288,0
2.4,20,-1.90674,0
2.43,20,-1.93054,0
2.46,20,-1.95426,0
2.49,20,-1.97791,0
2.52,20,-2.0015,0
2.55,20,-2.02501,0
2.58,20,-2.04845,0
2.61,20,-2.07182,0
2.64,20,-2.09512,0
2.67,20,-2.11835,0
2.7,20,-2.14151,0
2.73,20,-2.16461,0
2.76,20,-2.18763,0
2.79,20,-2.21058,0
2.82,20,-2.23347,0
2.85,20,-2.25628,0
2.88,20,-2.27903,0
2.91,20,-2.30171,0
2.94,20,-2.32432,0
2.97,20,-2.34687,0
