Algorithm,PointIndex,ComputationTime(ms),JointLimitCost,Success,Joint1,Vel1,Joint2,Vel2,Joint3,Vel3,Joint4,Vel4,Joint5,Vel5,Joint6,Vel6,Joint7,Vel7,Joint8,Vel8
GA,135,3.553400,0.503485,1,2508.687167,9.803884,1641.726845,0.132669,1035.620595,-1.966002,3.905354,0.000000,0.377349,0.000000,-1.192685,0.000000,-0.851399,0.000006,-0.325258,0.033194
GA,136,3.495900,0.502938,1,2521.399716,9.795340,1641.899752,0.133229,1033.014394,-2.008144,3.905354,0.000000,0.377349,0.000000,-1.192685,0.000000,-0.851401,-0.000009,-0.321330,0.030264
GA,137,3.552800,0.502269,1,2534.102502,9.787330,1642.073382,0.133780,1030.358041,-2.046686,3.905353,-0.000001,0.377349,0.000000,-1.192685,0.000000,-0.851400,0.000008,-0.316567,0.036700
GA,138,3.573200,0.501618,1,2546.790052,9.777448,1642.248031,0.134590,1027.641651,-2.093340,3.905353,-0.000006,0.377349,0.000000,-1.192685,0.000000,-0.851398,0.000010,-0.311847,0.036373
GA,139,3.503400,0.501692,1,2559.442944,9.767542,1642.422856,0.134958,1024.870304,-2.139372,3.905353,0.000000,0.377349,0.000000,-1.192685,0.000000,-0.851398,0.000000,-0.311847,0.000000
GA,140,3.711700,0.499967,1,2598.572381,8.185463,1615.083068,-5.719193,1022.420230,-0.512529,3.973037,0.141588,0.377349,0.000000,-1.192685,0.000000,-0.813597,0.079076,-0.314685,-0.005938
GA,141,3.528700,0.498816,1,2635.948591,7.718470,1584.398299,-6.336636,1020.016532,-0.496382,4.041402,0.141179,0.377349,0.000000,-1.192685,0.000000,-0.776500,0.076608,-0.318810,-0.008517
GA,142,3.495600,0.507717,1,2624.086253,-2.019368,1570.035205,-2.445081,964.433420,-9.462112,4.029244,-0.020696,0.533122,0.265178,-0.969534,0.379879,-0.749040,0.046745,-0.578163,-0.441507
GA,143,3.240800,0.509807,1,2662.560301,6.959866,1530.413789,-7.167422,962.197992,-0.404384,4.112401,0.150429,0.533122,0.000000,-0.969534,0.000000,-0.724310,0.044737,-0.585487,-0.013249
GA,144,3.328300,0.512732,1,2697.811961,6.295767,1486.971341,-7.758600,960.082293,-0.377853,4.196688,0.150532,0.533122,0.000000,-0.969534,0.000000,-0.700855,0.041890,-0.594294,-0.015729
GA,145,21.488600,0.536879,1,2699.403417,1.703386,1488.111282,1.220116,951.218115,-9.487615,4.174469,-0.237816,0.554253,0.226173,-0.815731,1.646205,-0.620198,0.863293,-0.727475,-1.425474
GA,146,330.535600,0.566594,1,2697.608825,-0.176741,1559.654101,7.045924,1023.130395,7.082311,4.040862,-0.131583,0.339278,-0.211719,-0.726504,0.087875,-0.307697,0.307768,-0.730178,-0.002662
GA,147,462.725100,0.627700,1,2695.470654,-0.294292,1590.578295,4.256329,1088.762129,9.033389,3.974033,-0.091982,0.156909,-0.251009,-0.711733,0.020331,-0.053076,0.350453,-0.718947,0.015457
GA,148,737.892000,0.688735,1,2694.829172,-0.124855,1597.134695,1.276104,1139.656554,9.905827,3.942404,-0.061560,0.018928,-0.268560,-0.733438,-0.042247,0.146991,0.389400,-0.700923,0.035082
GA,149,457.035700,0.632892,1,2692.740234,-3.053368,1596.109724,-1.498184,1144.491659,7.067397,3.918886,-0.343759,0.003037,-0.232264,-1.025773,-4.273002,0.261552,1.674530,-0.416781,4.153261
GA,150,572.714600,0.651300,1,2030.572971,-9.836488,1678.204812,1.219522,1057.539807,-1.291669,2.666673,-0.186016,0.230694,0.033818,-1.427248,-0.059639,1.546752,0.190916,0.324256,0.110081
GA,151,732.291200,0.609371,1,2136.114858,9.174151,1693.051602,1.290546,1014.308743,-3.757829,2.849602,0.159010,0.347062,0.101152,-1.451732,-0.021282,1.453863,-0.080743,0.410885,0.075301
GA,152,2.270700,0.591946,1,2218.113212,9.453159,1686.880522,-0.711431,986.754438,-3.176591,2.989975,0.161829,0.423677,0.088325,-1.472010,-0.023377,1.409854,-0.050735,0.464460,0.061763
GA,153,2.408500,0.611640,1,2225.274742,2.161382,1687.700614,0.247508,1019.048669,9.746546,3.001582,0.035030,0.331717,-0.277538,-1.426921,0.136080,1.504976,0.287081,0.363518,-0.304647
GA,154,2.323500,0.608188,1,2284.514313,9.908833,1679.715749,-1.335606,1019.039872,-0.001472,3.105320,0.173520,0.331717,0.000000,-1.426921,0.000000,1.504637,-0.000567,0.344010,-0.032630
GA,155,2.284100,0.606295,1,2339.311183,9.693215,1665.858539,-2.451252,1019.284029,0.043190,3.203081,0.172933,0.331717,0.000000,-1.426921,0.000000,1.510496,0.010363,0.325525,-0.032700
GA,156,2.285700,0.605891,1,2389.186192,9.366985,1647.245689,-3.495664,1019.778220,0.092814,3.294927,0.172495,0.331717,0.000000,-1.426921,0.000000,1.522427,0.022408,0.308218,-0.032503
