Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8,LimitCost
78,324.530209,1078.410362,1000.585934,2.066090,0.393562,-1.323951,-0.685626,-0.417586,0.508447
79,322.522661,1090.412439,1000.363285,2.066334,0.393562,-1.324114,-0.685844,-0.417586,0.508484
80,320.516068,1102.415723,1000.140994,2.066580,0.393562,-1.324274,-0.686065,-0.417586,0.508522
81,318.283546,1113.993981,999.920850,2.065956,0.393562,-1.323865,-0.685506,-0.417586,0.508503
82,316.053768,1125.576613,999.701062,2.065341,0.393562,-1.323457,-0.684955,-0.417586,0.508487
83,313.987546,1137.460529,999.476119,2.065341,0.393562,-1.323457,-0.684955,-0.417586,0.508514
84,311.921324,1149.344445,999.251177,2.065341,0.393562,-1.323457,-0.684955,-0.417586,0.508542
85,309.716560,1160.971507,999.026093,2.064812,0.393562,-1.323109,-0.684481,-0.417586,0.508536
86,307.510917,1172.596387,998.801004,2.064279,0.393562,-1.322759,-0.684004,-0.417586,0.508532
87,305.370129,1184.343941,998.571008,2.064003,0.393562,-1.322576,-0.683757,-0.417586,0.508547
88,303.226119,1196.084836,998.341010,2.063714,0.393562,-1.322385,-0.683498,-0.417586,0.508563
89,301.145289,1207.946318,998.108779,2.063668,0.393562,-1.322352,-0.683457,-0.417586,0.508597
90,299.064089,1219.807083,997.876126,2.063620,0.393562,-1.322322,-0.683414,-0.417586,0.508632
91,296.838965,1231.392262,997.643829,2.063011,0.393562,-1.321916,-0.682868,-0.417586,0.508631
92,294.613527,1242.976919,997.411169,2.062400,0.393562,-1.321512,-0.682321,-0.417586,0.508631
93,292.572973,1254.904009,997.173727,2.062489,0.393562,-1.321572,-0.682402,-0.417586,0.508682
94,290.531811,1266.830157,996.936316,2.062575,0.393562,-1.321630,-0.682479,-0.417586,0.508733
95,288.292866,1278.396357,996.698870,2.061922,0.393562,-1.321196,-0.681895,-0.417586,0.508736
96,286.052545,1289.959135,996.461421,2.061262,0.393562,-1.320757,-0.681304,-0.417586,0.508740
97,283.917393,1301.707330,996.218955,2.060987,0.393562,-1.320573,-0.681057,-0.417586,0.508771
98,281.781688,1313.453980,995.976458,2.060710,0.393562,-1.320389,-0.680810,-0.417586,0.508805
99,279.717992,1325.338230,995.731522,2.060710,0.393562,-1.320389,-0.680810,-0.417586,0.508859
100,277.654296,1337.222479,995.486585,2.060710,0.393562,-1.320389,-0.680810,-0.417586,0.508916
101,320.121697,1419.786611,994.992398,2.209899,0.393562,-1.355025,-0.720422,-0.417586,0.509345
102,382.519302,1503.664046,994.752324,2.381260,0.393562,-1.396620,-0.781234,-0.417586,0.512484
103,476.363700,1587.917367,994.768160,2.593450,0.393562,-1.451575,-0.880626,-0.417586,0.520944
104,488.590229,1582.675234,952.875240,2.591387,0.516857,-1.278539,-0.813745,-0.625714,0.529192
105,484.319691,1603.826432,975.104435,2.587092,0.452466,-1.258005,-0.705825,-0.600773,0.525208
106,482.457123,1624.804356,1000.854919,2.585016,0.380762,-1.257180,-0.595077,-0.562979,0.525514
107,568.645011,1677.611317,1001.867791,2.747799,0.380762,-1.289876,-0.651768,-0.562979,0.528907
108,565.188179,1691.507311,1021.815712,2.732186,0.328402,-1.259197,-0.534609,-0.561525,0.535796
109,576.093736,1696.877719,1008.479016,2.733072,0.369729,-1.065506,-0.468981,-0.753129,0.567252
110,584.204517,1723.589678,1064.672961,2.743363,0.219996,-1.250295,-0.333762,-0.533885,0.558752
111,595.795666,1731.146685,1061.553832,2.745261,0.233361,-1.007715,-0.257881,-0.773122,0.611194
112,677.786958,1762.626700,1063.560832,2.877031,0.233361,-1.022479,-0.291817,-0.773122,0.611529
113,682.461801,1775.272331,1114.602524,2.868578,0.103107,-1.268906,-0.145728,-0.509410,0.599070
114,836.452566,1799.815629,1104.937115,3.116974,0.134659,-1.269925,-0.300659,-0.530776,0.592672
115,938.091039,1798.531250,1107.305096,3.271684,0.134659,-1.269925,-0.357869,-0.538961,0.597146
116,1038.904971,1782.049551,1109.745486,3.427641,0.134659,-1.269925,-0.416585,-0.544273,0.602031
117,761.477274,1791.087558,1105.630207,2.918842,0.152169,-2.230126,0.269912,0.455803,0.617420
118,710.732020,1770.299368,1093.989262,2.802858,0.190646,-2.113569,0.385959,0.358110,0.579028
119,673.518725,1743.256993,1069.745998,2.703950,0.263384,-2.116879,0.506093,0.390753,0.562904
120,673.518725,1743.256993,1069.745998,2.703950,0.263384,-2.116879,0.506093,0.390753,0.562904
121,698.887791,1743.427274,1075.087099,2.703896,0.263384,-2.116879,0.506092,0.399821,0.564611
122,698.887791,1743.427274,1075.087099,2.703896,0.263384,-2.116879,0.506092,0.399821,0.564611
123,729.764893,1727.431683,1030.988879,2.700364,0.400112,-2.293389,0.590215,0.616206,0.588033
124,963.114378,1810.196244,1181.854471,3.116371,0.000040,-2.374667,0.021393,0.616251,0.735504
125,973.844069,1810.237807,1184.272730,3.112899,0.000040,-2.272877,0.023854,0.518812,0.702729
126,988.621850,1810.389100,1186.636015,3.116371,0.000040,-2.374667,0.021395,0.624935,0.737966
127,1001.021638,1810.477738,1188.944146,3.115732,0.000040,-2.357563,0.021756,0.612069,0.733161
128,1013.631741,1810.572336,1191.197371,3.115445,0.000040,-2.347804,0.021970,0.607124,0.731114
129,1026.467702,1810.673480,1193.390620,3.115513,0.000040,-2.347804,0.021970,0.610925,0.732182
130,1039.243268,1810.773703,1195.533968,3.115477,0.000040,-2.347804,0.021971,0.615991,0.733610
131,1052.569436,1810.888865,1197.612273,3.116372,0.000040,-2.374667,0.021394,0.646407,0.744155
132,1065.082940,1810.984012,1199.645486,3.115850,0.000040,-2.357563,0.021755,0.634367,0.739514
133,1077.690955,1811.082071,1201.613914,3.115473,0.000040,-2.347804,0.021970,0.628910,0.737292
134,1090.512826,1811.186418,1203.527302,3.115447,0.000040,-2.347804,0.021971,0.632780,0.738406
135,1103.344353,1811.291710,1205.390669,3.115429,0.000040,-2.347804,0.021970,0.637847,0.739869
136,1116.193003,1811.398303,1207.189107,3.115423,0.000040,-2.347804,0.021971,0.642149,0.741119
137,1129.606251,1811.520298,1208.932363,3.116373,0.000040,-2.374667,0.021392,0.672889,0.751965
138,1142.091295,1811.618789,1210.626069,3.115715,0.000040,-2.357563,0.021757,0.660748,0.747222
139,1154.787832,1811.723815,1212.254533,3.115421,0.000040,-2.347804,0.021972,0.654617,0.744770
140,1168.226955,1811.848311,1213.837883,3.116371,0.000040,-2.374667,0.021394,0.686459,0.756034
141,1181.115124,1811.959642,1215.356445,3.116372,0.000040,-2.374667,0.021394,0.690672,0.757306
142,1194.003716,1812.072193,1216.819624,3.116374,0.000040,-2.374667,0.021391,0.695054,0.758633
143,1206.567917,1812.176536,1218.228424,3.115783,0.000040,-2.357563,0.021756,0.682502,0.753715
144,1219.256473,1812.285030,1219.577010,3.115415,0.000040,-2.347804,0.021971,0.676650,0.751320
145,1232.175012,1812.400200,1220.875483,3.115425,0.000040,-2.347804,0.021970,0.681291,0.752714
146,1245.124536,1812.517065,1222.113955,3.115480,0.000040,-2.347804,0.021969,0.685545,0.753997
147,1258.026473,1812.633355,1223.297661,3.115444,0.000040,-2.347804,0.021971,0.690186,0.755400
148,1271.492716,1812.764950,1224.421315,3.116371,0.000040,-2.374667,0.021395,0.721310,0.766662
149,1284.110819,1812.875852,1225.489716,3.115829,0.000040,-2.357563,0.021754,0.708842,0.761718
150,1296.828094,1812.989760,1226.498309,3.115449,0.000040,-2.347804,0.021969,0.702951,0.759286
151,1309.778771,1813.110515,1227.457055,3.115462,0.000040,-2.347804,0.021970,0.707590,0.760705
152,1323.256578,1813.245788,1228.355553,3.116374,0.000040,-2.374667,0.021392,0.738689,0.772041
153,1335.888273,1813.359997,1229.199422,3.115829,0.000040,-2.357563,0.021756,0.726196,0.767063
154,1348.631170,1813.477901,1229.983058,3.115475,0.000040,-2.347804,0.021970,0.720708,0.764741
155,1361.572476,1813.601657,1230.711682,3.115445,0.000040,-2.347804,0.021970,0.724942,0.766050
156,1374.541113,1813.727029,1231.385394,3.115463,0.000040,-2.347804,0.021970,0.729578,0.767486
157,1387.470619,1813.852133,1231.999214,3.115405,0.000040,-2.347804,0.021971,0.733812,0.768801
158,1400.996121,1813.993449,1232.557895,3.116372,0.000040,-2.374667,0.021394,0.765317,0.780354
