axis1,axis2,has_valid_solution,solutions_count
0.0890118,-2.49408,0,0
0.0890118,-2.44782,0,0
0.0890118,-2.40157,0,0
0.0890118,-2.35532,0,0
0.0890118,-2.30907,0,0
0.0890118,-2.26282,0,0
0.0890118,-2.21657,0,0
0.0890118,-2.17032,0,0
0.0890118,-2.12407,0,0
0.0890118,-2.07781,0,0
0.0890118,-2.03156,0,0
0.0890118,-1.98531,0,0
0.0890118,-1.93906,0,0
0.0890118,-1.89281,0,0
0.0890118,-1.84656,0,0
0.0890118,-1.80031,0,0
0.0890118,-1.75406,0,0
0.0890118,-1.7078,0,0
0.0890118,-1.66155,0,0
0.0890118,-1.6153,0,0
0.0890118,-1.56905,0,0
0.0890118,-1.5228,0,0
0.0890118,-1.47655,0,0
0.0890118,-1.4303,1,2
0.0890118,-1.38405,1,1
0.0890118,-1.33779,0,0
0.0890118,-1.29154,0,0
0.0890118,-1.24529,0,0
0.0890118,-1.19904,0,0
0.0890118,-1.15279,0,0
0.0890118,-1.10654,0,0
0.0890118,-1.06029,0,0
0.0890118,-1.01404,0,0
0.0890118,-0.967785,0,0
0.0890118,-0.921534,0,0
0.0890118,-0.875283,0,0
0.0890118,-0.829031,0,0
0.0890118,-0.78278,0,0
0.0890118,-0.736529,0,0
0.0890118,-0.690278,0,0
0.0890118,-0.644026,0,0
0.0890118,-0.597775,0,0
0.0890118,-0.551524,0,0
0.0890118,-0.505273,0,0
0.0890118,-0.459022,0,0
0.0890118,-0.41277,0,0
0.0890118,-0.366519,0,0
0.0890118,-0.320268,0,0
0.0890118,-0.274017,0,0
0.0890118,-0.227765,0,0
0.0890118,-0.181514,0,0
0.0890118,-0.135263,0,0
0.0890118,-0.0890118,0,0
0.0890118,-0.0427606,0,0
0.0890118,0.00349066,0,0
0.0890118,0.0497419,0,0
0.0890118,0.0959931,0,0
0.0890118,0.142244,0,0
0.0890118,0.188496,0,0
0.0890118,0.234747,0,0
0.0890118,0.280998,0,0
0.0890118,0.327249,0,0
0.0890118,0.3735,0,0
0.0890118,0.419752,0,0
0.0890118,0.466003,0,0
0.0890118,0.512254,0,0
0.0890118,0.558505,0,0
0.0890118,0.604757,0,0
