Time,Position,Force,Desired_Force,Velocity
1.540000,-0.285817,0.000000,5.000000,-0.216498
1.550000,-0.287980,0.000000,5.000000,-0.216296
1.560000,-0.290142,0.000000,5.000000,-0.216092
1.570000,-0.292302,0.000000,5.000000,-0.215886
1.580000,-0.294460,0.000000,5.000000,-0.215679
1.590000,-0.296615,0.000000,5.000000,-0.215470
1.600000,-0.298769,0.000000,5.000000,-0.215259
1.610000,-0.300920,0.000000,5.000000,-0.215047
1.620000,-0.303070,0.000000,5.000000,-0.214834
1.630000,-0.305217,0.000000,5.000000,-0.214620
1.640000,-0.307362,0.000000,5.000000,-0.214405
1.650000,-0.309505,0.000000,5.000000,-0.214189
1.660000,-0.311645,0.000000,5.000000,-0.213972
1.670000,-0.313784,0.000000,5.000000,-0.213755
1.680000,-0.315920,0.000000,5.000000,-0.213537
1.690000,-0.318054,0.000000,5.000000,-0.213318
1.700000,-0.320186,0.000000,5.000000,-0.213100
1.710000,-0.322316,0.000000,5.000000,-0.212881
1.720000,-0.324444,0.000000,5.000000,-0.212662
1.730000,-0.326569,0.000000,5.000000,-0.212443
1.740000,-0.328692,0.000000,5.000000,-0.212224
1.750000,-0.330814,0.000000,5.000000,-0.212006
1.760000,-0.332932,0.000000,5.000000,-0.211787
1.770000,-0.335049,0.000000,5.000000,-0.211569
1.780000,-0.337164,0.000000,5.000000,-0.211351
1.790000,-0.339276,0.000000,5.000000,-0.211134
1.800000,-0.341386,0.000000,5.000000,-0.210917
1.810000,-0.343494,0.000000,5.000000,-0.210700
1.820000,-0.345600,0.000000,5.000000,-0.210484
1.830000,-0.347703,0.000000,5.000000,-0.210268
1.840000,-0.349805,0.000000,5.000000,-0.210053
1.850000,-0.351904,0.000000,5.000000,-0.209839
1.860000,-0.354002,0.000000,5.000000,-0.209625
1.870000,-0.356097,0.000000,5.000000,-0.209412
1.880000,-0.358190,0.000000,5.000000,-0.209199
1.890000,-0.360280,0.000000,5.000000,-0.208987
1.900000,-0.362369,0.000000,5.000000,-0.208775
1.910000,-0.364456,0.000000,5.000000,-0.208564
1.920000,-0.366540,0.000000,5.000000,-0.208354
1.930000,-0.368623,0.000000,5.000000,-0.208144
1.940000,-0.370703,0.000000,5.000000,-0.207934
1.950000,-0.372781,0.000000,5.000000,-0.207725
1.960000,-0.374857,0.000000,5.000000,-0.207517
1.970000,-0.376931,0.000000,5.000000,-0.207309
1.980000,-0.379003,0.000000,5.000000,-0.207101
1.990000,-0.381073,0.000000,5.000000,-0.206894
2.000000,-0.383144,0.000000,8.000000,-0.209702
2.010000,-0.385402,0.000000,8.000000,-0.238773
2.020000,-0.387942,0.000000,8.000000,-0.266167
2.030000,-0.390746,0.000000,8.000000,-0.291781
2.040000,-0.393796,0.000000,8.000000,-0.315536
2.050000,-0.397073,0.000000,8.000000,-0.337379
2.060000,-0.400558,0.000000,8.000000,-0.357282
2.070000,-0.404231,0.000000,8.000000,-0.375236
2.080000,-0.408073,0.000000,8.000000,-0.391254
2.090000,-0.412065,0.000000,8.000000,-0.405363
2.100000,-0.416187,0.000000,8.000000,-0.417608
2.110000,-0.420422,0.000000,8.000000,-0.428046
2.120000,-0.424752,0.000000,8.000000,-0.436749
2.130000,-0.429159,0.000000,8.000000,-0.443794
2.140000,-0.433629,0.000000,8.000000,-0.449270
2.150000,-0.438145,0.000000,8.000000,-0.453272
2.160000,-0.442693,0.000000,8.000000,-0.455898
2.170000,-0.447260,0.000000,8.000000,-0.457251
2.180000,-0.451835,0.000000,8.000000,-0.457438
2.190000,-0.456405,0.000000,8.000000,-0.456565
2.200000,-0.460962,0.000000,8.000000,-0.454737
2.210000,-0.465495,0.000000,8.000000,-0.452061
2.220000,-0.469997,0.000000,8.000000,-0.448640
2.230000,-0.474462,0.000000,8.000000,-0.444574
2.240000,-0.478883,0.000000,8.000000,-0.439960
2.250000,-0.483255,0.000000,8.000000,-0.434892
2.260000,-0.487574,0.000000,8.000000,-0.429459
2.270000,-0.491837,0.000000,8.000000,-0.423743
2.280000,-0.496042,0.000000,8.000000,-0.417823
2.290000,-0.500187,0.000000,8.000000,-0.411773
2.300000,-0.504271,0.000000,8.000000,-0.405658
2.310000,-0.508294,0.000000,8.000000,-0.399540
2.320000,-0.512256,0.000000,8.000000,-0.393475
2.330000,-0.516158,0.000000,8.000000,-0.387512
2.340000,-0.520001,0.000000,8.000000,-0.381695
2.350000,-0.523787,0.000000,8.000000,-0.376062
2.360000,-0.527518,0.000000,8.000000,-0.370647
2.370000,-0.531195,0.000000,8.000000,-0.365477
2.380000,-0.534823,0.000000,8.000000,-0.360575
2.390000,-0.538403,0.000000,8.000000,-0.355959
2.400000,-0.541939,0.000000,8.000000,-0.351642
2.410000,-0.545433,0.000000,8.000000,-0.347633
2.420000,-0.548889,0.000000,8.000000,-0.343938
2.430000,-0.552309,0.000000,8.000000,-0.340560
2.440000,-0.555698,0.000000,8.000000,-0.337497
2.450000,-0.559057,0.000000,8.000000,-0.334744
2.460000,-0.562391,0.000000,8.000000,-0.332296
2.470000,-0.565702,0.000000,8.000000,-0.330143
2.480000,-0.568993,0.000000,8.000000,-0.328274
2.490000,-0.572266,0.000000,8.000000,-0.326677
2.500000,-0.575526,0.000000,8.000000,-0.325338
2.510000,-0.578773,0.000000,8.000000,-0.324242
2.520000,-0.582010,0.000000,8.000000,-0.323372
2.530000,-0.585240,0.000000,8.000000,-0.322713
2.540000,-0.588465,0.000000,8.000000,-0.322247
2.550000,-0.591685,0.000000,8.000000,-0.321957
2.560000,-0.594904,0.000000,8.000000,-0.321825
2.570000,-0.598122,0.000000,8.000000,-0.321835
2.580000,-0.601341,0.000000,8.000000,-0.321970
2.590000,-0.604562,0.000000,8.000000,-0.322213
2.600000,-0.607786,0.000000,8.000000,-0.322549
2.610000,-0.611014,0.000000,8.000000,-0.322962
