算法名称,AT(ms),SR5(%),SR10(%),J1(mm),J2(mm),J3(mm),J4(°),J5(°),J6(°),J7(°),J8(°),极限逼近次数,关节突变次数,速度突变次数
NSGA,13.179,87.333,92.333,32.209,27.319,14.53,4.311,1.904,2.808,2.553,5.373,110,15,81
MOEAD,7.744,95,96.333,31.547,28.597,12.999,4.306,1.811,2.573,3.47,4.769,65,14,87
GA,7.152,94.667,96.333,31.493,28.521,12.124,4.3,1.822,3.017,2.223,3.533,74,11,82
MOEAD,4.153,97.333,98.333,24.258,26.708,12.466,4.233,2.01,1.759,1.377,2.711,56,17,101
GA,10.034,93.333,94.667,29.862,26.185,17.474,4.199,2.824,4.247,3.272,6.288,113,19,118
NSGA,13.373,89.333,92.667,30.893,31.317,14.786,4.178,1.985,2.577,2.982,3.277,54,14,82
NSGA,13.735,86.667,90.333,32.25,28.493,14.899,4.171,2.024,2.411,2.831,3.56,74,13,82
NSGA,14.45,87.667,93.333,30.919,27.456,14.172,4.154,1.835,2.045,1.582,2.513,78,16,81
NSGA,10.402,89.667,93.333,27.427,29.739,11.96,4.136,1.758,5.25,3.302,4.818,87,17,75
GA,6.828,96.667,97.667,31.356,30.192,15.667,4.121,2.014,2.589,2.346,3.144,79,11,62
ISGA,13.845,81.333,86.333,31.342,34.852,12.188,4.062,2.11,5.784,4.944,6.213,64,24,110
NSGA,8.84,91.667,94,29.738,25.696,14.158,4.051,2.317,2.092,1.885,3.201,100,16,98
NSGA,11.231,89.333,92.333,32.074,31.63,17.516,4.048,2.675,1.988,2.582,3.641,76,22,105
NSGA,11.913,88.333,90.667,31.166,30.149,15.537,4.046,2.347,2.072,3.066,3.384,84,20,78
NSGA,15.736,87,90.333,34.386,30.96,16.733,4.021,2.478,3.222,2.533,4.654,75,27,82
NSGA,12.343,86,89.667,31.008,28.8,12.685,4.015,1.468,2.523,1.967,2.906,77,9,87
NSGA,13.028,87,91,30.877,28.881,16.28,4.009,2.276,1.912,2.295,3.465,86,20,98
GA,4.792,97.667,98.333,23.237,29.221,9.65,3.989,1.391,1.493,1.287,2.365,109,5,85
NSGA,13.648,89.667,91.333,31.657,31.654,15.45,3.967,2.438,3.276,3.118,5.048,77,22,92
NSGA,16.044,86.667,89.667,29.695,30.202,14.3,3.958,1.907,2.617,2.834,3.309,57,13,87
NSGA,11.812,87,92,30.979,28.63,14.575,3.941,2.023,2.365,1.509,3.045,97,17,70
ISGA,10.26,71.667,75,27.733,41.056,15.172,3.889,3.256,5.687,4.065,5.491,40,25,102
NSGA,11.181,89,92.667,32.082,29.592,17.722,3.886,2.55,2.47,2.682,4.287,61,23,91
NSGA,12.223,87.333,90,30.277,28.997,16.791,3.879,2.43,4.976,4.243,6.218,72,21,116
NSGA,14.236,87.333,90.667,29.742,31.569,16.368,3.875,2.164,3.776,2.681,3.687,71,17,87
NSGA,8.615,92.333,94.333,28.854,28.631,12.442,3.81,1.435,3.551,3.476,4.144,55,12,77
GA,6.483,96,96.667,28.526,26.369,11.78,3.773,2.157,3.503,3.54,5.553,83,11,111
ISGA,12.96,78,79,31.54,35.634,19.608,3.768,2.105,2.551,3.325,3.663,32,18,55
ISGA,10.82,85,88,28.388,34.704,11.639,3.761,1.818,3.382,3.015,4.576,61,18,88
NSGA,12.604,86,90,28.896,27.241,15.339,3.741,2.538,4.543,3.937,6.142,83,24,95
ISGA,9.973,78.333,81.333,31.019,33.872,17.822,3.73,1.644,2.595,3.075,3.097,43,9,59
NSGA,10.946,89.667,92.667,30.416,28.414,15.959,3.662,2.256,2.886,3.408,3.536,82,20,101
NSGA,12.924,88.667,91.333,28.546,31.449,13.639,3.638,2.195,3.22,3.435,4.57,88,19,89
ISGA,9.926,75.667,79.333,31.547,33.572,18.48,3.631,1.721,2.107,3.102,2.168,16,13,42
ISGA,8.34,83,83.667,26.32,39.709,13.58,3.63,2.149,3.419,3.94,4.348,45,14,65
NSGA,10.183,86.667,92.333,30.64,27.273,14.862,3.629,2.189,3.345,2.925,4.008,83,19,96
GA,5.633,95,97,27.754,30.006,15.339,3.601,2.146,1.977,1.566,4.016,73,10,88
NSGA,9.411,92.333,94.667,29.349,25.687,13.89,3.567,1.87,2.101,2.398,3.527,72,14,91
ISGA,8.714,80.667,82.333,30.258,32.868,15.709,3.565,1.389,2.327,2.639,2.659,57,7,34
GA,11.946,90.333,93.667,28.76,28.204,13.868,3.563,2.455,5.397,2.725,5.113,114,14,111
ISGA,11.18,79.333,81.667,32.48,33.606,15.418,3.552,1.471,2.299,3.171,2.328,25,16,34
