# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7
63,SUCCESS_CARTESIAN,100,1.781053,3,0.361712,0.114593,0.755457,0.1,0.624396,0.228034,2.546666,-1.325736,0.043187
64,SUCCESS_CARTESIAN,100,1.64243,3,0.363483,0.116426,0.724067,0.1,0.609491,0.219497,2.555227,-1.319312,0.015925
65,SUCCESS_CARTESIAN,100,1.621301,3,0.363752,0.118997,0.692518,0.1,0.594133,0.211705,2.563562,-1.312368,-0.01142
66,SUCCESS_CARTESIAN,100,2.333522,3,0.363702,0.122316,0.660832,0.1,0.578335,0.204612,2.571648,-1.304926,-0.038857
67,SUCCESS_CARTESIAN,100,2.727599,3,0.363343,0.126377,0.62904,0.1,0.562114,0.198228,2.57945,-1.296958,-0.066355
68,SUCCESS_CARTESIAN,100,2.603873,3,0.363956,0.131162,0.597175,0.1,0.545492,0.192603,2.586929,-1.288402,-0.093846
69,SUCCESS_CARTESIAN,100,1.676733,3,0.363406,0.136666,0.565265,0.1,0.528492,0.187715,2.594059,-1.279259,-0.121297
70,SUCCESS_CARTESIAN,100,1.813237,3,0.368171,0.142876,0.53335,0.1,0.511155,0.183564,2.600809,-1.269506,-0.148665
71,SUCCESS_CARTESIAN,100,2.050405,3,0.366659,0.149771,0.501466,0.1,0.493519,0.180165,2.607147,-1.259108,-0.175883
72,SUCCESS_CARTESIAN,100,1.659114,3,0.361096,0.157328,0.46965,0.1,0.47563,0.177521,2.613046,-1.248042,-0.202888
73,SUCCESS_CARTESIAN,100,1.72603,3,0.364075,0.165519,0.437939,0.1,0.457537,0.175632,2.618485,-1.236284,-0.229611
74,SUCCESS_CARTESIAN,100,1.554298,3,0.362016,0.174315,0.40637,0.1,0.439293,0.174499,2.623441,-1.223816,-0.25598
75,SUCCESS_CARTESIAN,100,3.73625,3,0.36283,0.183683,0.37498,0.1,0.420956,0.174123,2.627896,-1.210617,-0.281919
76,SUCCESS_CARTESIAN,100,1.873148,3,0.363092,0.193557,0.343819,0.1,0.402639,0.174536,2.631835,-1.196613,-0.307384
77,SUCCESS_CARTESIAN,100,1.86249,3,0.360437,0.20393,0.312903,0.1,0.384348,0.175672,2.635249,-1.181873,-0.332282
78,SUCCESS_CARTESIAN,100,0.681459,3,0.351934,0.21476,0.282248,0.100083,0.366133,0.177313,2.638168,-1.166579,-0.356643
79,SUCCESS_CARTESIAN,100,0.592952,3,0.355571,0.226013,0.251839,0.1005,0.348023,0.17885,2.64071,-1.151267,-0.380683
80,SUCCESS_CARTESIAN,100,0.578948,3,0.354709,0.237655,0.221698,0.101242,0.330068,0.180267,2.642887,-1.135948,-0.404339
81,SUCCESS_CARTESIAN,100,0.594622,3,0.352107,0.249652,0.191847,0.102314,0.312316,0.18155,2.644716,-1.120629,-0.427554
82,SUCCESS_CARTESIAN,100,0.676984,3,0.35055,0.261973,0.162301,0.103717,0.294812,0.18269,2.646214,-1.105318,-0.450277
83,SUCCESS_CARTESIAN,100,0.627197,3,0.348753,0.274589,0.133077,0.105452,0.277594,0.183676,2.647399,-1.090024,-0.472463
84,SUCCESS_CARTESIAN,100,0.623558,3,0.346719,0.287473,0.104188,0.107518,0.260697,0.184504,2.648293,-1.074752,-0.494078
85,SUCCESS_CARTESIAN,100,0.603531,3,0.339845,0.300601,0.075644,0.109912,0.244149,0.18517,2.648918,-1.05951,-0.51509
86,SUCCESS_CARTESIAN,100,0.628333,3,0.339697,0.31395,0.047454,0.112633,0.227974,0.185673,2.649297,-1.044304,-0.535481
87,SUCCESS_CARTESIAN,100,0.631153,3,0.341186,0.327503,0.019626,0.115675,0.21219,0.186012,2.649452,-1.029141,-0.555234
88,SUCCESS_CARTESIAN,100,5.113236,3,0.507274,0.317844,0,0.106479,0.239633,0.219834,2.654715,-0.964612,-0.599714
89,SUCCESS_CARTESIAN,100,3.381759,3,0.829328,0.250904,0,0.1,0.37419,0.247214,2.713507,-0.860619,-0.769042
90,SUCCESS_CARTESIAN,100,3.798572,3,0.80427,0.203557,0,0.1,0.477721,0.257872,2.782188,-0.792031,-0.92815
91,SUCCESS_CARTESIAN,100,4.077993,3,0.787712,0.168365,0,0.1,0.562936,0.269174,2.855095,-0.736513,-1.07725
92,SUCCESS_CARTESIAN,100,3.946232,3,0.76568,0.140952,0,0.1,0.637154,0.281202,2.933288,-0.690472,-1.222931
93,SUCCESS_CARTESIAN,100,2.152632,3,0.765259,0.119199,0,0.1,0.703882,0.293902,3.017058,-0.652498,-1.36819
94,SUCCESS_CARTESIAN,100,2.242577,3,0.762799,0.101904,0,0.1,0.765076,0.307274,3.10605,-0.621917,-1.514226
95,SUCCESS_JOINT_SPACE,100,111.896068,23,7.179311,0.083686,0.005103,0.100869,0.832766,0.318412,-3.074477,-0.60237,-1.67644
96,SUCCESS_CARTESIAN,100,2.877887,3,0.729073,0.07781,0,0.100091,0.875451,0.335762,-2.98756,-0.581916,-1.808343
97,SUCCESS_CARTESIAN,100,2.385839,3,0.7644,0.068464,0,0.103807,0.927818,0.340758,-2.892228,-0.582208,-1.952744
98,SUCCESS_CARTESIAN,100,2.218123,3,0.732024,0.059062,0,0.113519,0.980088,0.329637,-2.806676,-0.60501,-2.084768
99,SUCCESS_CARTESIAN,100,2.051314,3,0.682524,0.050738,0.000013,0.126795,1.030788,0.309306,-2.734716,-0.641651,-2.19936
100,SUCCESS_CARTESIAN,100,2.056494,3,0.637413,0.044322,0.000018,0.14144,1.079076,0.285881,-2.67461,-0.684598,-2.298063
101,SUCCESS_CARTESIAN,100,1.902897,3,0.596098,0.040054,0.000013,0.156293,1.124863,0.262542,-2.62348,-0.729809,-2.384162
102,SUCCESS_CARTESIAN,100,1.880647,3,0.556333,0.037886,0.000005,0.170864,1.168374,0.240627,-2.579037,-0.77544,-2.460494
103,SUCCESS_CARTESIAN,100,2.599962,3,0.523553,0.037642,0,0.184954,1.209911,0.220585,-2.539675,-0.820734,-2.529166
104,SUCCESS_CARTESIAN,100,1.846701,3,0.507653,0.039162,0,0.198496,1.249726,0.202573,-2.504293,-0.865324,-2.591697
105,SUCCESS_CARTESIAN,100,1.682393,3,0.489652,0.042283,0,0.211483,1.288023,0.186548,-2.472154,-0.909077,-2.649174
106,SUCCESS_CARTESIAN,100,1.71866,3,0.472593,0.046863,0,0.223941,1.324974,0.172406,-2.442734,-0.951967,-2.702411
107,SUCCESS_CARTESIAN,100,1.816285,3,0.452143,0.052779,0,0.235907,1.360718,0.160017,-2.415655,-0.994011,-2.752033
108,SUCCESS_CARTESIAN,100,1.579954,3,0.440914,0.059923,0,0.247422,1.395366,0.149247,-2.390636,-1.035242,-2.798524
109,SUCCESS_CARTESIAN,100,1.407988,3,0.424407,0.068203,0,0.258543,1.428984,0.139911,-2.367494,-1.075725,-2.842213
110,SUCCESS_CARTESIAN,100,1.667889,3,0.412803,0.077528,0,0.269297,1.461692,0.131937,-2.346027,-1.115492,-2.883497
111,SUCCESS_CARTESIAN,100,1.385972,3,0.404497,0.08783,0,0.279718,1.493523,0.125206,-2.326115,-1.154566,-2.922612
112,SUCCESS_CARTESIAN,100,1.336021,3,0.395339,0.099041,0,0.289845,1.524523,0.119603,-2.307656,-1.192985,-2.959772
113,SUCCESS_CARTESIAN,100,1.298759,3,0.400043,0.111101,0,0.299711,1.554732,0.115022,-2.290565,-1.230784,-2.995157
114,SUCCESS_CARTESIAN,100,1.622497,3,0.388412,0.123953,0,0.309349,1.584184,0.11136,-2.274769,-1.267994,-3.028922
115,SUCCESS_CARTESIAN,100,2.105439,3,0.392576,0.137546,0,0.318789,1.612899,0.108526,-2.260206,-1.304636,-3.061195
116,SUCCESS_CARTESIAN,100,2.019576,3,0.382111,0.151831,0,0.328061,1.640904,0.106429,-2.246822,-1.340737,-3.092094
117,SUCCESS_CARTESIAN,100,1.559957,3,0.384095,0.166763,0,0.337191,1.668211,0.104987,-2.234563,-1.376311,-3.121715
118,SUCCESS_CARTESIAN,100,1.650439,3,0.415363,0.181833,0.000002,0.350968,1.69476,0.091557,-2.224952,-1.418951,-3.14
119,SUCCESS_JOINT_SPACE,100,132.022971,23,7.448801,0.196802,0,0.357153,1.717494,0.093587,-2.222589,-1.443585,3.125723
120,SUCCESS_CARTESIAN,100,1.735726,3,0.423708,0.214554,0,0.368603,1.745924,0.091617,-2.204938,-1.487122,3.089437
121,SUCCESS_CARTESIAN,100,1.60633,3,0.369369,0.231656,0,0.377354,1.77052,0.092177,-2.196391,-1.520536,3.064127
122,SUCCESS_CARTESIAN,100,1.397374,3,0.374617,0.249202,0,0.386069,1.79445,0.093054,-2.188755,-1.55347,3.039759
123,SUCCESS_CARTESIAN,100,1.605564,3,0.451529,0.268366,0.000001,0.383966,1.818237,0.122695,-2.182208,-1.569997,2.992655
124,SUCCESS_CARTESIAN,100,1.88355,3,0.54461,0.290266,0,0.37055,1.842554,0.18279,-2.178044,-1.569991,2.920698
125,SUCCESS_CARTESIAN,100,3.830619,3,0.545948,0.314072,0,0.356997,1.867272,0.244112,-2.176565,-1.569992,2.847883
126,SUCCESS_CARTESIAN,100,2.127756,3,0.548623,0.339831,0.000001,0.343503,1.892634,0.306407,-2.177929,-1.57,2.774373
127,SUCCESS_CARTESIAN,100,1.674872,3,0.54959,0.367564,0,0.330284,1.918923,0.369378,-2.182336,-1.57,2.700354
128,SUCCESS_CARTESIAN,100,1.678621,3,0.550206,0.397238,0,0.317575,1.946378,0.432625,-2.189977,-1.57,2.626155
129,SUCCESS_CARTESIAN,100,2.783693,3,0.547688,0.428779,0,0.305622,1.975244,0.49569,-2.20106,-1.57,2.552156
130,SUCCESS_CARTESIAN,100,4.821641,3,0.549694,0.46205,0,0.29467,2.005746,0.558042,-2.215781,-1.569995,2.478809
