# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7,,
131,SUCCESS_CARTESIAN,100,0.871795,3,0.305176,0.580937,0.057505,0.236916,2.229174,0.784381,-2.358154,-1.57,2.18656,4.358975,
132,SUCCESS_CARTESIAN,100,0.812074,3,0.304316,0.591862,0.039336,0.245105,2.2069,0.789932,-2.347015,-1.569979,2.18653,4.06037,
133,SUCCESS_CARTESIAN,100,0.85282,3,0.35014,0.606173,0.023498,0.252021,2.191802,0.800439,-2.340968,-1.569998,2.179421,4.2641,
134,SUCCESS_CARTESIAN,100,0.796614,3,0.338231,0.618772,0.00479,0.258762,2.168338,0.811885,-2.328877,-1.56515,2.175599,3.98307,
135,SUCCESS_CARTESIAN,100,0.824591,3,0.383282,0.646305,0.000001,0.261509,2.187132,0.839166,-2.347749,-1.569987,2.140484,4.122955,
136,SUCCESS_CARTESIAN,100,0.850924,3,0.489509,0.684758,0.000005,0.259766,2.229014,0.885859,-2.385382,-1.569961,2.081863,4.25462,
137,SUCCESS_CARTESIAN,100,0.817298,3,0.481007,0.723237,0.000102,0.259545,2.272672,0.928804,-2.426444,-1.569979,2.026787,4.08649,
138,SUCCESS_CARTESIAN,100,0.915378,3,0.459307,0.761259,0.000081,0.260788,2.317013,0.967688,-2.469879,-1.569953,1.975869,4.57689,
139,SUCCESS_CARTESIAN,100,1.523671,3,0.432155,0.798705,0.000007,0.263335,2.36182,1.002619,-2.515306,-1.569974,1.928989,7.618355,
140,SUCCESS_CARTESIAN,100,3.297681,3,0.442081,0.835928,0.000083,0.26692,2.407933,1.034323,-2.563253,-1.569972,1.885188,16.488405,
141,SUCCESS_CARTESIAN,100,1.14234,3,0.454818,0.87231,0.000004,0.271493,2.45353,1.062545,-2.612001,-1.569894,1.845224,5.7117,
142,SUCCESS_CARTESIAN,100,0.879141,3,0.444468,0.908253,0.000066,0.27687,2.499676,1.087773,-2.66231,-1.569916,1.808175,4.395705,
143,SUCCESS_CARTESIAN,100,0.905359,3,0.456525,0.943316,0.000016,0.282956,2.544831,1.110128,-2.712678,-1.569899,1.7744,4.526795,
144,SUCCESS_CARTESIAN,100,0.853762,3,0.459183,0.977842,0.000081,0.289621,2.589862,1.12999,-2.763754,-1.569979,1.743165,4.26881,
145,SUCCESS_CARTESIAN,100,0.882087,3,0.511341,1.016844,0.002121,0.296431,2.649453,1.149814,-2.82882,-1.569963,1.707748,4.410435,
146,SUCCESS_CARTESIAN,100,0.734833,3,0.432154,1.048382,0.001529,0.304128,2.687993,1.16461,-2.875374,-1.57,1.683502,3.674165,
147,SUCCESS_CARTESIAN,100,0.720729,3,0.389235,1.076264,0.000001,0.312217,2.716217,1.177213,-2.912881,-1.569945,1.664685,3.603645,
148,SUCCESS_CARTESIAN,100,0.736534,3,0.464503,1.108798,0.000515,0.320348,2.759387,1.189851,-2.964609,-1.569998,1.64121,3.68267,
149,SUCCESS_CARTESIAN,100,0.791443,3,0.414677,1.137854,0.000229,0.328772,2.792574,1.200684,-3.007476,-1.57,1.622644,3.957215,
150,SUCCESS_CARTESIAN,100,0.744757,3,0.414124,1.165718,0,0.33736,2.822654,1.210498,-3.047766,-1.569999,1.606083,3.723785,
151,SUCCESS_CARTESIAN,100,0.798225,3,0.401433,1.192859,0,0.346071,2.850999,1.219518,-3.086712,-1.57,1.590898,3.991125,
