Timestamp(ms),Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),J1(rad),J2(rad),J3(rad),J4(rad),J5(rad),J6(rad),J7(rad),J8(rad),OffsetX(m),OffsetY(m),OffsetZ(m),OffsetRx(rad),OffsetRy(rad),OffsetRz(rad),TargetX(m),TargetY(m),TargetZ(m)
21743,0,0,-17.219258,0,0,0,365.868988,519.257996,1049.062012,2.300244,1.202951,-0.948932,-1.21581,-1.273996,0,0,-0.461518,0,0,0,381.801451,-954.929146,-1755.063218
21752,0,0,-17.219258,0,0,0,365.868988,519.257996,1049.062012,2.300244,1.202951,-0.948932,-1.21581,-1.273996,0,0,-0.461518,0,0,0,393.50732,-952.884782,-1754.888659
22363,0,0,-17.083192,0,0,0,361.643982,543.47998,1048.703003,2.300244,1.202951,-0.948932,-1.21581,-1.273902,0,0,-0.381612,0,0,0,405.215689,-950.840392,-1754.714139
22373,0,0,-17.083192,0,0,0,361.643982,543.47998,1048.703003,2.300244,1.202951,-0.948932,-1.21581,-1.273902,0,0,-0.381612,0,0,0,416.924058,-948.796001,-1754.539618
23463,0,0,-13.460769,0,0,0,355.654968,577.579956,1048.197998,2.300244,1.202951,-0.948932,-1.21581,-1.273665,0,0,0.619462,0,0,0,428.736671,-947.356855,-1754.457889
23474,0,0,-13.460769,0,0,0,355.654968,577.579956,1048.197998,2.300244,1.202951,-0.948932,-1.21581,-1.273665,0,0,0.619462,0,0,0,440.442605,-945.314993,-1754.280833
23496,0,0,-13.460769,0,0,0,355.654968,577.579956,1048.197998,2.300244,1.202951,-0.948932,-1.21581,-1.273665,0,0,0.714454,0,0,0,452.271524,-943.96327,-1754.213716
23506,0,0,-13.460769,0,0,0,355.654968,577.579956,1048.197998,2.300244,1.202951,-0.948932,-1.21581,-1.273665,0,0,0.714454,0,0,0,463.977406,-941.916409,-1754.036655
25451,0,0,-18.050582,0,0,0,348.804016,624.462036,1047.697021,2.300244,1.202951,-0.948932,-1.21581,-1.27349,0,0,-0.401593,0,0,0,475.614192,-939.481313,-1753.795297
25460,0,0,-18.050582,0,0,0,348.804016,624.462036,1047.697021,2.300244,1.202951,-0.948932,-1.21581,-1.27349,0,0,-0.401593,0,0,0,487.320138,-937.436954,-1753.615738
25484,0,0,-18.050582,0,0,0,348.804016,624.462036,1047.697021,2.300244,1.202951,-0.948932,-1.21581,-1.27349,0,0,-0.370344,0,0,0,498.962332,-935.034763,-1753.379192
25494,0,0,-18.050582,0,0,0,348.804016,624.462036,1047.697021,2.300244,1.202951,-0.948932,-1.21581,-1.27349,0,0,-0.370344,0,0,0,510.668305,-932.992903,-1753.199637
26672,0,0,-20.221751,0,0,0,344.283997,648.305054,1047.265015,2.300244,1.202951,-0.948932,-1.21581,-1.273453,0,0,-0.911897,0,0,0,522.279996,-930.404232,-1752.933639
26683,0,0,-20.221751,0,0,0,344.283997,648.305054,1047.265015,2.300244,1.202951,-0.948932,-1.21581,-1.273453,0,0,-0.911897,0,0,0,533.988468,-928.362347,-1752.754122
27187,0,0,-17.111255,0,0,0,339.740967,672.106018,1046.839966,2.300244,1.202951,-0.948932,-1.21581,-1.273431,0,0,-0.09027,0,0,0,545.696964,-926.315467,-1752.5696
27196,0,0,-17.111255,0,0,0,339.740967,672.106018,1046.839966,2.300244,1.202951,-0.948932,-1.21581,-1.273431,0,0,-0.09027,0,0,0,557.405461,-924.268587,-1752.385078
27920,0,0,-9.1126,0,0,0,333.222992,706.300049,1046.225952,2.300244,1.202951,-0.948932,-1.21581,-1.273179,0,0,2.063157,0,0,0,569.466774,-924.234111,-1752.520513
27930,0,0,-9.1126,0,0,0,333.222992,706.300049,1046.225952,2.300244,1.202951,-0.948932,-1.21581,-1.273179,0,0,2.063157,0,0,0,581.172785,-922.192254,-1752.338458
28969,0,0,-14.801127,0,0,0,329.095001,741.586975,1046,2.300244,1.202951,-0.948932,-1.21581,-1.273041,0,0,0.715803,0,0,0,593.002104,-920.846851,-1752.264055
28980,0,0,-14.801127,0,0,0,329.095001,741.586975,1046,2.300244,1.202951,-0.948932,-1.21581,-1.273041,0,0,0.715803,0,0,0,604.708153,-918.804997,-1752.079501
29002,0,0,-14.801127,0,0,0,329.095001,741.586975,1046,2.300244,1.202951,-0.948932,-1.21581,-1.273041,0,0,0.790207,0,0,0,616.550299,-917.52949,-1752.014045
29013,0,0,-14.801127,0,0,0,329.095001,741.586975,1046,2.300244,1.202951,-0.948932,-1.21581,-1.273041,0,0,0.790207,0,0,0,628.25636,-915.485138,-1751.826988
30902,0,0,-17.641688,0,0,0,322.382996,788.687012,1045.489014,2.300244,1.202951,-0.948932,-1.21581,-1.273036,0,0,0.115042,0,0,0,639.984721,-913.555189,-1751.660174
30911,0,0,-17.641688,0,0,0,322.382996,788.687012,1045.489014,2.300244,1.202951,-0.948932,-1.21581,-1.273036,0,0,0.115042,0,0,0,651.693269,-911.513309,-1751.475658
30934,0,0,-17.641688,0,0,0,322.382996,788.687012,1045.489014,2.300244,1.202951,-0.948932,-1.21581,-1.273036,0,0,0.149841,0,0,0,663.4252,-909.61725,-1751.309162
30945,0,0,-17.641688,0,0,0,322.382996,788.687012,1045.489014,2.300244,1.202951,-0.948932,-1.21581,-1.273036,0,0,0.149841,0,0,0,675.131326,-907.575401,-1751.119608
32391,0,0,-19.20486,0,0,0,316.350983,824.959961,1044.95105,2.300244,1.202951,-0.948932,-1.21581,-1.272741,0,0,-0.22782,0,0,0,686.798179,-905.311888,-1750.897495
32401,0,0,-19.20486,0,0,0,316.350983,824.959961,1044.95105,2.300244,1.202951,-0.948932,-1.21581,-1.272741,0,0,-0.22782,0,0,0,698.504267,-903.270036,-1750.71044
33497,0,0,-13.461181,0,0,0,310.126984,859.166016,1044.369019,2.300244,1.202951,-0.948932,-1.21581,-1.27245,0,0,1.300142,0,0,0,710.434307,-902.490682,-1750.718457
33507,0,0,-13.461181,0,0,0,310.126984,859.166016,1044.369019,2.300244,1.202951,-0.948932,-1.21581,-1.27245,0,0,1.300142,0,0,0,722.140445,-900.446336,-1750.5264
33532,0,0,-13.944311,0,0,0,310.126984,859.166016,1044.369019,2.300244,1.202951,-0.948932,-1.21581,-1.27245,0,0,1.264298,0,0,0,734.064326,-899.637104,-1750.531407
33542,0,0,-13.944311,0,0,0,310.126984,859.166016,1044.369019,2.300244,1.202951,-0.948932,-1.21581,-1.27245,0,0,1.264298,0,0,0,745.770478,-897.597754,-1750.341855
34771,0,0,-21.058041,0,0,0,307.212006,883.757019,1044.179932,2.300244,1.202951,-0.948932,-1.21581,-1.272558,0,0,-0.527435,0,0,0,757.388349,-895.042708,-1750.066175
34782,0,0,-21.058041,0,0,0,307.212006,883.757019,1044.179932,2.300244,1.202951,-0.948932,-1.21581,-1.272558,0,0,-0.527435,0,0,0,769.097051,-893.000838,-1749.87166
36001,0,0,-16.737182,0,0,0,299.882996,929.609009,1043.532959,2.300244,1.202951,-0.948932,-1.21581,-1.272443,0,0,0.598958,0,0,0,780.906338,-891.539257,-1749.771774
36011,0,0,-16.737182,0,0,0,299.882996,929.609009,1043.532959,2.300244,1.202951,-0.948932,-1.21581,-1.272443,0,0,0.598958,0,0,0,792.612476,-889.49491,-1749.579717
36035,0,0,-17.944415,0,0,0,299.882996,929.609009,1043.532959,2.300244,1.202951,-0.948932,-1.21581,-1.272443,0,0,0.326498,0,0,0,804.374932,-887.773237,-1749.43541
36045,0,0,-17.944415,0,0,0,299.882996,929.609009,1043.532959,2.300244,1.202951,-0.948932,-1.21581,-1.272443,0,0,0.326498,0,0,0,816.081161,-885.733892,-1749.240859
37234,0,0,-16.818332,0,0,0,296.404999,953.190002,1043.237061,2.300244,1.202951,-0.948932,-1.21581,-1.27216,0,0,0.652704,0,0,0,827.90237,-884.329585,-1749.14179
37246,0,0,-16.818332,0,0,0,296.404999,953.190002,1043.237061,2.300244,1.202951,-0.948932,-1.21581,-1.27216,0,0,0.652704,0,0,0,839.611176,-882.29022,-1748.942278
37736,0,0,-15.424322,0,0,0,292.614014,976.774963,1042.89502,2.300244,1.202951,-0.948932,-1.21581,-1.271776,0,0,1.064835,0,0,0,851.500757,-881.284423,-1748.911587
